"date","time","action","protocol","src-ip","dest-ip","src-port","dest-port","size","tcpflags","tcpsyn","tcpack","tcpwin","icmptype","icmpcode","info","path"
"2023-07-07","10:15:36","ALLOW","TCP","192.168.0.37","23.75.1.128","53951","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:15:37","ALLOW","TCP","192.168.0.37","13.89.178.26","53952","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:16:15","ALLOW","TCP","192.168.0.37","20.189.173.4","53966","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:00","ALLOW","TCP","192.168.0.37","140.82.121.3","53984","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:03","ALLOW","TCP","192.168.0.37","20.189.173.6","53986","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:24","ALLOW","TCP","192.168.0.37","104.86.110.91","53994","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:24","ALLOW","TCP","192.168.0.37","150.171.32.254","53995","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:24","ALLOW","TCP","192.168.0.37","13.107.213.64","53996","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:24","ALLOW","TCP","192.168.0.37","152.199.21.118","53997","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:24","ALLOW","TCP","192.168.0.37","204.79.197.222","53998","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:25","ALLOW","TCP","192.168.0.37","52.97.133.178","53999","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:26","ALLOW","TCP","192.168.0.37","13.107.234.254","54001","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:26","ALLOW","TCP","192.168.0.37","13.107.4.254","54002","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:26","ALLOW","TCP","192.168.0.37","204.79.197.254","54003","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:45","ALLOW","TCP","192.168.0.37","51.11.192.50","54010","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:52","ALLOW","TCP","192.168.0.37","51.104.15.252","54013","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:53","ALLOW","TCP","192.168.0.37","51.104.15.252","54014","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:54","ALLOW","TCP","192.168.0.37","51.104.15.252","54016","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:56","ALLOW","TCP","192.168.0.37","140.82.121.4","54020","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:57","ALLOW","TCP","192.168.0.37","51.104.15.252","54021","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:57","ALLOW","TCP","192.168.0.37","51.104.15.252","54022","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:17:58","ALLOW","TCP","192.168.0.37","140.82.121.4","54025","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:18:00","ALLOW","TCP","192.168.0.37","52.182.143.210","54027","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:18:02","ALLOW","TCP","192.168.0.37","52.182.143.210","54028","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:18:10","ALLOW","TCP","192.168.0.37","20.189.173.7","54032","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:18:16","ALLOW","TCP","192.168.0.37","88.221.135.209","54035","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:18:44","ALLOW","TCP","192.168.0.37","142.250.178.14","54045","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:18:59","ALLOW","UDP","192.168.0.37","35.186.224.25","62030","443","0","-","-","-","-","-","-","-","SEND"
"2023-07-07","10:19:02","ALLOW","UDP","192.168.0.37","35.186.224.18","54581","443","0","-","-","-","-","-","-","-","SEND"
"2023-07-07","10:19:08","ALLOW","TCP","192.168.0.37","34.117.237.239","54054","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:19:52","ALLOW","TCP","192.168.0.37","140.82.121.5","54070","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:19:53","ALLOW","TCP","192.168.0.37","104.208.16.89","54071","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:19:54","ALLOW","TCP","192.168.0.37","185.199.110.133","54073","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:20:39","ALLOW","TCP","192.168.0.37","140.82.121.3","54091","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:20:42","ALLOW","TCP","192.168.0.37","20.189.173.7","54093","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:20:58","ALLOW","TCP","192.168.0.37","140.82.112.26","54099","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:20:59","ALLOW","TCP","192.168.0.37","140.82.121.3","54100","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:20:59","ALLOW","TCP","192.168.0.37","140.82.112.26","54101","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:21:31","ALLOW","TCP","192.168.0.37","20.42.65.89","54113","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:21:42","ALLOW","UDP","192.168.0.37","104.18.2.161","62163","443","0","-","-","-","-","-","-","-","SEND"
"2023-07-07","10:21:42","ALLOW","TCP","192.168.0.37","107.23.65.63","54118","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:22:02","ALLOW","TCP","192.168.0.37","104.21.84.99","54125","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:22:06","ALLOW","TCP","192.168.0.37","13.69.109.131","54129","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:22:20","ALLOW","TCP","192.168.0.37","13.69.106.215","54135","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:22:22","ALLOW","TCP","192.168.0.37","13.69.106.215","54136","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:22:33","ALLOW","TCP","192.168.0.37","13.89.178.27","54141","443","0","-","0","0","0","-","-","-","SEND"
"2023-07-07","10:22:44","ALLOW","TCP","192.168.0.37","142.250.187.206","54145","443","0","-","0","0","0","-","-","-","SEND"
